11,27,53,103,107,129,234,284,285,307,308,327,383,431,555,581,658,712,811,837,865,878,900,942,998 3,20,51,72,203,213,253,291,298,307,443,460,510,539,544,661,677,689,733,754,874,876,891,928,944
80,121,184,194,207,301,332,389,403,425,456,510,527,534,620,623,640,727,753,823,833,883,904,927,978 26,55,63,77,85,109,117,197,204,319,323,333,362,385,397,609,697,775,777,779,800,858,865,892,939
11,31,49,54,128,144,145,195,223,259,270,272,275,319,345,379,469,470,511,604,608,721,890,929,948 32,67,132,158,187,269,341,350,358,412,553,557,583,589,625,643,669,757,806,854,932,941,950,967,981
47,53,112,120,170,179,241,279,300,359,400,497,563,581,617,653,663,758,804,851,872,908,947,966,981 15,62,84,93,255,263,321,335,417,496,502,524,596,602,636,703,736,756,799,824,881,935,955,963,984
43,104,115,193,237,269,364,392,437,449,457,464,496,522,568,584,628,647,679,716,731,792,924,928,993 5,34,48,152,231,314,337,346,415,436,463,466,479,481,648,659,665,679,727,741,852,879,904,930,998
18,64,113,138,140,142,144,171,210,245,296,320,345,396,458,473,489,577,719,781,909,911,912,928,942 92,125,138,188,234,296,300,333,437,466,490,495,524,560,652,680,707,717,907,927,948,953,972,980,988
34,187,222,301,312,317,364,466,482,538,595,613,684,730,787,788,806,838,839,855,879,886,957,961,975 115,116,228,239,278,297,345,387,410,417,440,453,526,594,633,634,664,670,737,771,781,827,902,904,972
76,137,161,169,187,255,289,439,484,490,491,494,504,579,600,668,699,716,730,769,781,797,892,900,964 109,125,205,275,277,279,347,379,423,426,496,530,599,715,718,739,826,836,859,889,907,947,950,951,968
25,76,131,134,142,147,192,256,276,413,415,434,448,464,580,608,618,633,691,705,707,737,739,876,918 14,39,58,174,190,231,261,294,321,327,451,478,486,520,543,576,665,696,712,716,758,787,839,898,929
88,131,180,202,209,210,228,253,280,320,327,330,458,479,484,522,615,634,674,697,798,801,806,816,992 114,148,178,212,265,267,280,325,347,409,434,456,462,477,492,493,582,591,646,679,690,695,745,900,949
